id,user_name,rating,date,text,review_length,likes,photo_count,user_info,has_owner_reply,reply_text,scraped_date
1,تجارب شخصية,5,قبل سنة,"المطعم راقي وجلساته مريحة
فيه داخليه وخارجية
يتميز بالاكلات الشعبية
الخدمة مميزة
يتميز بالأكلات الشعبية وصراحة الطعم فاخر

الطلبات كانت
سلطة حب الهريس وزيت الزيتون
سلطة الحبحب
سمبوسة لحم غنم
كبيبة حائل
حنيذ عسيري مع رز
كباب ميرو
مبشور لحم غنم
سليق طائفي دجاج
مكرونة بشاميل بلحم الغنم

الحلويات
كرمبل التمر
محلى تارت",315,0,4,قبل سنة,لا,,2026-02-08
2,Muna Al-Razgan,5,قبل 3 سنوات,"مطعم رائق و جلسته روعه. الاكل لذيذ 🤤 و الخدمة سريعة. اعجبني الحنيذ العسيري و الجريش. لكن السليق الطائفي عادي ما انصح فيه. اعجبني رائحة البخور في المطعم. عصير النعناع و البطيخ كان جيد جداً.

A very nice restaurant and nice settings and the services is great & fast. We ordered hanieth, spicy jeresh. The saleeq was ok not that good. The watermelon 🍉 and mint juices are the best 👌😊",380,0,4,قبل 3 سنوات,لا,,2026-02-08
3,Lam,6,قبل سنة,"كل شي كان سيئ بالنسبه لي
طلبي منتو. فيه طعم شحم او مني عارفه ايش طعمه سيئ
مطبق نفس الشيئ فيه طعم وريحه ما قدرت اكل
سليق بالدجاج. اغرب سليق شفته وطعم الدجاج زفر
مبشور لحم اللحم في زفاره وزنخ بشكل

الاسعار مبالغ فيها جدا ولا يستحق هذا المبلغ لا الاكل ولا الخدمه.
ايضا الاسعار في المنيو بدون اضافة الضريبه وهذي مخالفه وين الوزاره عنهم

كل شئ في المطعم هذا ماعجبني ولا يمكن اكرر التجربة ولا انصح به.",395,0,4,قبل سنة,لا,,2026-02-08
4,O Canada,6,قبل سنة,"تجربه سيئة واسعار فيها استغفال للعميل.
طلباتي:
- حنيذ عسيري ب 170 ريال مع الضريبه 0/ 5 لحم اسود وكله شحم
- سليق بالدجاج: ب 120 ريال 0 / 5 ماله طعم وفوقه جناح دجاج. جريش الناضج او خمسه ريال احسن منه
- سلطه الجوف: ب 60 ريال 0 /5 عباره عن قطع طماط وخيار وفوقها زيتون ودبس الرمان.
-مانتو المدينه ب 80 ريال 5/3 يعتبر افضل طلب لكن كميه صغيره وسعره مبالغ فيه جدا
- عصير برتقال: 45 ريال 0/5 طعم سيئ و مو فريش ولونه غريب وطعمه قريب للتانج.",430,0,4,قبل سنة,لا,,2026-02-08
5,Sumayyah Khalid,4,تاريخ التعديل: قبل سنة,"المكان جميل جدا، جلسنا بالجلسات الخارجية. الاكل جيد واتوقعته صراحة افضل خصوصاً مع ارتفاع الاسعار.

شوربة بطاطس حلوة: لذيذة وفيها نكهة جوز هند مميزة، اذا رحت باطلبها ثاني.

كبيبة حائل: جيدة بس شوي حامضة بزيادة، مارح اطلبها ثاني.

لحم مقلقل: لذيذ بس عادي مافيه شي مميز على السعر، مارح اطلبه ثاني.

تمن حائل: لذيذ بس شوي الفلفل الاسود كثير فبيطلع حار على الاطفال.

منتو المدينة: لذيذ والصوص(لازا) اللي معاه لذيذ حتى مع الاطباق الثانية، باطلبه ثاني.

كبة حساوية: لذيذة ومقرمشة من برا لكن زيتها زايد وما حسيتها مميزة، مارح اطلبها ثاني.

عصير حبحب وعصير اناناس: عادي عصير طازج بدون اضافات وبدون حركات تقديم.

حلا كرمبل التمر: لذيذ كانه بسكوت مجروش بالهيل مقرمش وعليه اسكريم فانيليا وصوص توفي، لذيذ وفيه نكهة مميزة، باطلبه ثاني.",721,0,3,تاريخ التعديل: قبل سنة,لا,,2026-02-08
6,mnor S,3,قبل 3 سنوات,"وصلت المطعم اول العصر كان فاضي، الديكور جميل جداً سواءً المطعم او المجمع ككل ماخذ طابع تراثي انيق.
الجلسات الداخليه يعيبها ريحة الاكل، الخارجيه جميله لكن تحتاج نظافه اكثر.
الاسعار مباالغ فيها اتمنى يعيدون النظر.
كمية الاكل قليله الى متوسطه.
الطلبات:
جريش الرياض 10/10 لذييذ
تمّن حايل 7/10 ناقصه نكهة لاذعه
كبيبة حايل 8/10 جيده",326,0,4,قبل 3 سنوات,لا,,2026-02-08
7,Fatima Altamimi,5,قبل 3 سنوات,"مطعم سعودي رائع جداً يقدم الأطباق السعودية بطريقة مبتكرة … أجواء المطعم رايقة أخذنا غرفة Vip بطلة وفيها حمام خاص وكبيرة.. بس بشكل عام الأجواء والديكور خرافة ينفع تعزمون عليه أصحابكم الأجانب يتعرفون على فكرة الأكل السعودي بطريقة راقية 👏🏻👏🏻👏🏻
أخذنا من السلطات سلطة القرع لذيذة مرة والسمبوسة والكبة والمنتو والكبيبا طيبة مرة 👍🏻👍🏻 الأطباق الرئيسية طلبنا كبسة لحم وتمن ومرقوق .. الرز والتمن يفوووووز طبخ يفوق الوصف تحسه طبخ أمهات 👏🏻👏🏻👏🏻 تقهوينا بعد وأخذنا تشيز حنيني وتارت التمر وقهوة عربية طيبة بس لو يغيرون الدلة …",511,0,4,قبل 3 سنوات,لا,,2026-02-08
8,Saad,5,قبل سنة,المطعم كوزين اكلات سعودية تقليدية جربت مغش السمك الجيزاني وفرموزة جبن روعة بصراحة الطعم ولاغلطة بس يقولوا الحنيذ العسيري ممتاز ماجربته الاسعار مرتفعه قليلا,155,0,4,قبل سنة,لا,,2026-02-08
9,بنت عبدالعزيز,5,قبل سنتين,"السلام عليكم

بالنسبه لنجربه و تقيمي للمطعم

10/10
لكن يعيبه الاسعار.

او ممكن هو مخصص لاستقبال وفود من خارج المملكه
لتجربة الاكل النجدي
او جلسة عمل

الان سعار 🔥
الطعم 👌🏻
الخدمه سريعه
لا يوجد حواجز
يوجد موسيقى
لكن وقت دخولنا كان ع الاذان
فالحمدلله اكلنا و هم مسكرين الموسيقى
الطلبات :
كبسة دجاج 10/10 مع الطحينه
جريش الرياض 8/10
كبيبة حايل 10/10
منتو رهيييب مع الدقوس
الحساب 302 ريال",383,0,4,قبل سنتين,لا,,2026-02-08
10,Atheer Abdullah,6,قبل سنة,"تجربتي صراحة ماكانت موفقه من ناحيتين:
أولا ، الإستقبال جلسنا ندور عالموظفين ماكان فيه أحد يستقبل الزبائن.
ثانياً ، لما أخذ الطلب أخذه من غير كتابه ونسي طبق رئيسي ، فتحنا الفاتوره الإلكترونية من شان نتأكد وطلعوا ماسجلوها أصلا ولما حكيناهم قالوا تآخذ وقت في الفرن قلت مو مشكله نستنى .. اللي معاي خلصوا أطباقهم وانا أستنى واخرتها  وبعد انتظار قالو معليش مو موجوده في المنيو!

المويه كانت حاره وجابوها من غير ثلج
المشروب حار ""بيبسي"" بس عالأقل جابوا كاس ثلج للمشروب.

قررنا نمشي مانكمل العشاء ، تعشينا من بليلة ترك عندهم بطاطس لذيذ صراحه على طريق التخصصي 😋🤭👌🏻

طلبنا كان سليق دجاج كان عادي والدجاج نكهته ماحبيناها.
كبيبة حائل ماعليها كلام. منتو كان عادي لابأس به.
وطلبنا مكرونة بالبشاميل بس مو موجوده في المنيو 🤭🤷🏻‍♀️

الأسعار تعتبر مرتفعه ولا تستاهل لقلّة الجوده في الخدمه والطعم والمكان، علما أن الجلسات كانت ازعاج والناس مره قريبه من بعض.

لا أفكر في الزياره مره أخرى.",866,0,4,قبل سنة,لا,,2026-02-08
11,eng. nάðά,4,قبل 5 سنوات,"المكان جميل وأنيق بجلسات داخليه وخارجيه لكلا الجنسين .
المطبخ السعودي وأطباق شعبيه بلمسه عصريه إن صح التعبير .
جميل إن المطبخ مفتوح ع الجلسات ويمكنك مشاهدة إعداد الأطباق .
يوجد موسيقى 🎶
الأسعار مرتفعه
الأطباق الشعبيه تعتمد ع الذوق الشخصي فما يعجبني قد لا يعجبك لكن بشكل عام تجربه جيده لا بأس بها .

بالتوفيق للجميع ⚘",316,0,4,قبل 5 سنوات,لا,,2026-02-08
12,A Refai,5,قبل 3 سنوات,"المطعم عبارة عن تحفة فنية! الديكورات مذهلة يمزج بين العراقة وبساطة الأجداد بلمسة عصرية واسلوب فخم ومدروس بعناية! الأواني الجدران الأثاث دورات المياه المبنى من الداخل والخارج عبارة عن لوحة فنية، الأطباق اصلية ومثل اكل البيت لا يوجد شيء مميز جداً بالطعام، الاسعار مرتفعة ولكن متوافقة مع فخامة المكان، الخدمة ممتازة والطاقم مدرب بعناية، موسيقى الخلفية جميلة جداً ومختارة بعناية، يوجد مواقف في المجمع، المطعم موجود ضمن مجمع مطاعم تراثية

السلبيات:
الأكل عادي جداً ولكن لا يوجد سلبيات.",480,0,4,قبل 3 سنوات,لا,,2026-02-08
13,أحمد العمودي,4,قبل سنتين,"المطعم جميل والأكل كذلك لذيذ ولكن أقتراح بأن يتم زيادة بهارات اللحم شوي حتى يتضح طعمها بشكل أجمل
وكذلك إضافة أصناف أخرى من الرز.

تعامل العاملين جميل ومتعاونين
عندما ذهبت اليه كان المطعم هدوء ولا يوجود ازعاج.

الأسعار مرتفعة واتمنى منهم إعادة النظر فيها.",254,0,4,قبل سنتين,لا,,2026-02-08
14,W Hamad,5,قبل 5 سنوات,"تجربة جميلة .. الاجواء اكثر من رائعة .. خدمة وحوافة وطعم واهتمام بأدق التفاصيل .
اطباق التقديم مبتكرة ومستوحاة من التراث .. الاطباق الشعبية متقنة ومقدمة بطريقة عصرية .
سلطة القرع لذيذة و كذلك المقلقل والكبيبة
المكان ديكورة واضائتة متقنة عبارة عن دورين وفيه جلسات خارجية .
وختموها معنا بكرم ضيافة جميل من عندهم مع طلب الشاهي .",325,0,4,قبل 5 سنوات,لا,,2026-02-08
